Metadata,[TomB]XuunnY_2025-11-20_03-46-02,ReverieYLL_2025-11-20_03-46-29,PoisonedMango_2025-11-20_03-46-29,FrozenAlchemist_2025-11-20_04-01-56,Jnpox_2025-11-20_03-59-22,ajschoch_2025-11-20_03-47-50,Lonewolf_2467_2025-11-20_03-46-02,Gissni_2025-11-20_03-51-45,dieGans_2025-11-20_03-47-50,[iS]BarscrewlSports_2025-11-20_03-51-45,sludgefist_2025-11-20_04-01-56,Egoless_2025-11-20_03-59-22
Build 87,Metal Extractor (361.9s),Grunt (574.6s),Wind Turbine (633.7s),Wind Turbine (323.7s),Dragon's Teeth (358.1s),,,Pawn (428.4s),Wind Turbine (732.2s),Wind Turbine (765.4s),Dragon's Teeth (565.7s),Wind Turbine (82.1s)
Build 88,Thug (384.8s),Grunt (574.7s),Wind Turbine (633.7s),Wind Turbine (323.7s),Construction Vehicle (376.2s),,,Pawn (428.5s),Wind Turbine (732.2s),Wind Turbine (765.4s),Dragon's Teeth (570.7s),Wind Turbine (84.1s)
Build 89,Thug (385.7s),Thug (575.4s),Wind Turbine (633.7s),Wind Turbine (324.8s),Dragon's Teeth (388.9s),,,Pawn (448.8s),Wind Turbine (732.2s),Wind Turbine (765.4s),Dragon's Teeth (571.6s),Wind Turbine (84.1s)
Build 90,Graverobber (386.0s),Graverobber (575.7s),Wind Turbine (633.7s),Wind Turbine (324.8s),Dragon's Teeth (388.9s),,,Pawn (448.8s),Wind Turbine (732.2s),Wind Turbine (765.4s),Dragon's Teeth (572.5s),Wind Turbine (84.1s)
Build 91,Construction Bot (386.3s),Guard (582.5s),Wind Turbine (633.7s),Wind Turbine (325.6s),Dragon's Teeth (388.9s),,,Pawn (449.0s),Wind Turbine (732.2s),Wind Turbine (765.4s),Castro (581.7s),Wind Turbine (84.1s)
Build 92,Grunt (387.1s),Guard (582.8s),Wind Turbine (633.7s),Wind Turbine (326.0s),Guard (390.9s),,,Pawn (449.0s),Wind Turbine (732.2s),Wind Turbine (765.4s),Construction Turret (597.6s),Wind Turbine (84.1s)
Build 93,Metal Storage (653.7s),Guard (582.8s),Wind Turbine (633.7s),Sentry (342.4s),Trapper (413.2s),,,Construction Turret (495.1s),Wind Turbine (732.2s),Wind Turbine (765.4s),Construction Turret (603.9s),Wind Turbine (84.1s)
Build 94,Construction Turret (662.2s),Guard (582.9s),Wind Turbine (633.7s),Sentry (343.6s),Construction Turret (417.5s),,,Radar Tower (505.3s),Wind Turbine (732.2s),Wind Turbine (765.4s),Construction Turret (606.2s),Wind Turbine (84.1s)
Build 95,Construction Turret (662.2s),Energy Storage (600.7s),Wind Turbine (633.7s),Nettle (390.0s),Construction Turret (419.3s),,,Sentry (507.3s),Wind Turbine (732.2s),Wind Turbine (765.4s),Warden (615.1s),Wind Turbine (84.1s)
Build 96,Construction Turret (662.2s),Energy Storage (601.0s),Wind Turbine (633.7s),Janus (437.6s),Construction Turret (420.0s),,,Sentry (507.8s),Graverobber (739.1s),Wind Turbine (765.4s),Thug (622.4s),Wind Turbine (84.1s)
Build 97,Construction Turret (662.2s),Energy Converter (673.1s),Wind Turbine (633.7s),Janus (438.3s),Energy Converter (435.2s),,,Sentry (514.2s),Graverobber (740.0s),Sentry (867.7s),Warden (660.8s),Wind Turbine (84.1s)
Build 98,Bot Lab (713.8s),Energy Converter (673.1s),Wind Turbine (633.7s),Janus (438.5s),Energy Converter (436.8s),,,Sentry (515.5s),Construction Bot (885.8s),Sentry (868.6s),Dragon's Teeth (665.3s),Wind Turbine (84.1s)
Build 99,Bot Lab (713.8s),Energy Converter (673.1s),Sentry (676.8s),Janus (438.6s),Energy Converter (439.3s),,,Sentry (516.3s),Wind Turbine (890.2s),Crossbow (898.9s),Dragon's Teeth (665.3s),Wind Turbine (84.1s)
Build 100,Construction Turret (716.7s),Energy Converter (673.1s),Sentry (677.2s),Janus (438.9s),Energy Converter (439.3s),,,Nettle (520.1s),Wind Turbine (890.2s),Crossbow (899.0s),Dragon's Teeth (665.3s),Wind Turbine (84.1s)
